ALPHALIV,2029-03-31
ALPHANATE,2026-08-31
ALPHANINE,2029-08-31
ALPROXY,2029-11-30
ALREX,2025-07-31
ALTAD,2027-01-31
ALTAD CAPS,2028-12-31
ALTVEN,2030-04-30
ALUDOR,2029-03-31
ALURAX,2025-05-31
ALZ,2027-09-30
ALZEPINOL,2022-04-30
ALZYNAMIN,2028-10-31
AMAGLYN,2025-01-31
AMARYL,2026-02-28
AMATO,2026-11-30
AMBISOME,2027-05-31
AMBROL,2029-07-31
AMBROXMEL,2028-03-31
AMENIFLAC,2030-04-30
AMGEVITA,2029-04-30
AMICORED,2027-11-30
AMICOZOL,2025-08-31
AMIDALIN,2029-07-31
AMINOLEX,2029-12-31
AMINOVEN,2026-10-31
AMIOBAL,2029-07-31
AMIORON,2028-01-31
AMITIZA,2029-11-30
AMIXAL,2029-09-30
AMLODIL,2027-10-31
AMLOVASC,2025-12-31
AMOME,2030-07-31
AMOXICILINA + CLARITROMICINA + ESOMEPRAZOL,2031-05-31
AMOXICILINA TRI-HIDRATADA + CLAVULANATO DE POTÁSSIO,2028-01-31
AMOXICILINA TRIHIDRATADA,2028-09-30
AMOXICILINA TRIIDRATADA + CLAVULANATO DE POTÁSSIO,2025-05-31
AMOXICILINA+CLAVULANATO DE POTASSIO,2026-12-31
AMOXIL,2028-08-31
AMOXILINA SÓDICA + CLAVULANATO DE POTÁSSIO,2031-08-31
AMOXIMED,2029-05-31
AMPICILAB,2029-07-31
AMPLACILINA,2028-06-30
AMPLICTIL,2026-08-31
AMPLOSPEC,2026-11-30
AMPRAX,2027-06-30
ANAFRANIL,2026-06-30
ANALGISEN,2022-05-31
ANANGOR,2026-07-31
ANASEPTIL,2022-09-30
ANASEPTIL CARE,2027-04-30
ANASTROLIBBS,2030-02-28
ANCLORIC,2026-10-31
ANDANTOL,2029-07-31
ANDES,2027-08-31
ANDHORA,2030-05-31
ANDOLBA,2025-12-31
ANDRIODERMOL,2029-06-30
ANDROCORTIL,2025-04-30
ANDROCUR,2028-02-29
ANDROFLOXIN,2027-10-31
ANDROGEL,2029-07-31
ANDROSTEN,2025-04-30
ANEMIFER,2025-02-28
ANESEVO,2027-07-31
ANESFENT,2027-12-31
ANESTALCON,2027-09-30
ANESTÉSICO OCULUM,2025-04-30
ANFLAT,2029-05-31
ANFORICIN B,2029-07-31
ANFUGINE,2029-09-30
ANFUGITARIN,2025-02-28
ANGELIQ,2025-03-31
ANGIN HEEL SD,2027-02-28
ANGINO RUB,2029-05-31
ANGINOMED,2025-02-28
ANGIOLOT,2025-02-28
ANGIOTENSIL HCT,2029-12-31
ANGIPRESS,2025-03-31
ANGIPRESS CD,2026-06-30
ANIDULAFUNGINA,2027-10-31
ANLO,2026-10-31
ANLUSBED,2029-08-31
ANNITA,2025-12-31
ANORO ELLIPTA,2025-12-31
ANSIODORON,2025-06-30
ANSIRAX,2027-06-30
ANSITEC,2028-05-31
ANTAK,2022-11-30
ANTARA,2029-08-31
ANTIBREX,2027-01-31
ANTIDIN,2025-05-31
ANTIMAIS SÉPTICO,2029-04-30
ANTIVIRAX,2028-01-31
ANTROFI,2028-11-30
ANTUX,2025-08-31
ANULOV,2030-04-30
ANYA,2028-09-30
APAXY,2029-05-31
APECIBINE,2030-11-30
APETIVAN BC,2029-08-31
APETIVITON BC,2029-06-30
APEVITIN BC,2025-09-30
APIDRA,2030-02-28
APIGUACO,2027-07-31
APIXORD,2031-05-31
APLAUSE,2027-04-30
APRACUR,2029-02-28
APRACUR DC,2027-10-31
APRACUR DUO,2029-08-31
APRAZ,2028-12-31
APRESOLINA,2025-08-31
APROLAN,2026-07-31
ARACELI,2029-02-28
ARACOR,2026-12-31
ARACOR ANLO,2027-05-31
ARADOIS,2026-04-30
ARADOIS ANLO,2027-10-31
ARADOIS H,2026-10-31
ARAMIN,2029-02-28
ARANESP,2030-08-31
ARARTAN,2026-10-31
ARASID,2026-09-30
ARAZABI,2027-10-31
ARCALION,2026-12-31
ARCHEUS,2027-07-31
ARCOXIA,2027-03-31
ARDECTO,2031-08-31
ARDIRE XR,2031-05-31
AREBLAZ,2026-05-31
AREMAZ,2027-09-30
ARFLEX RETARD,2029-05-31
ARGEVIT C,2026-10-31
ARICILINA,2029-04-30
ARIFENICOL,2027-10-31
ARIMIDEX,2026-07-31
ARISCORTEN,2028-08-31
ARISTOPRAMIDA,2027-07-31
ARIXTRA,2029-07-31
ARLIVRY,2026-01-31
ARNICA DO MATO EC,2027-11-30
ARNICA GEL,2030-07-31
ARNICA MONTANA ADV,2027-09-30
ARNICA PRÉPÓS,2029-02-28
ARNICA WELEDA,2026-03-31
ARODAP,2027-08-31
AROMASIN,2025-04-30
AROPAX,2028-08-31
ARPADOL,2027-12-31
ARPAFITO,2029-02-28
ARPATABS,2030-04-30
ARPEJO,2029-08-31
ARPYNFLAN,2028-07-31
ARTANE,2027-10-31
ARTELAC,2025-06-30
ARTEMIDIS 35,2028-06-30
ARTEROX,2029-03-31
ARTESUNATO +  MEFLOQUINA FARMANGUINHOS,2028-02-29
ARTICAINE,2029-08-31
ARTISAL,2027-10-31
ARTISS,2030-07-31
ARTOGLICO,2025-01-31
ARTRINID,2027-03-31
ARTRINON,2028-10-31
ARTRITEC,2026-05-31
ARTRODAR,2025-12-31
ARTROLIVE,2028-06-30
ARTROSIL,2025-06-30
ARULATAN,2025-04-30
AS-MED,2028-12-31
ASALIT,2029-10-31
ASCARIDIL,2029-11-30
ASEA,2030-04-30
ASEA HCT,2026-01-31
ASERCIT,2025-02-28
ASILONE,2021-11-30
ASMAFIN,2029-05-31
ASMANON,2026-04-30
ASMOFEN,2027-06-30
ASPARGIL C,2029-08-31
ASPARTOL,2031-02-28
ASPIRINA,2026-10-31
ASPIRINA C EFERVESCENTE,2028-10-31
ASPIRINA PREVENT,2025-12-31
ASSERT,2025-05-31
ASTRO IV,2027-01-31
AT-LOR,2021-10-31
ATACAND,2028-02-29
ATACAND COMB,2025-07-31
ATACAND HCT,2029-09-30
ATAK,2025-11-30
ATELIDONA,2025-11-30
ATELOP,2028-07-31
ATENEUM,2029-06-30
ATENOBAL,2027-04-30
ATENOCLOR,2025-09-30
ATENOPRESS,2029-11-30
ATENORESE,2029-11-30
ATENSINA,2029-06-30
ATEPRESS,2026-11-30
ATEROGREL,2026-02-28
ATEROMA,2025-11-30
ATESTO,2029-09-30
ATIP,2025-05-31
ATIP XR,2025-05-31
ATOBACH,2028-08-31
ATORLESS,2025-07-31
ATORVASTEROL,2026-09-30
ATOSSION,2027-03-31
ATRACE,2030-04-30
ATRED,2027-09-30
ATROFARMA,2026-03-31
ATROFEM,2028-01-31
ATROPINA,2026-08-31
ATROPION,2029-05-31
ATROVENT,2025-03-31
ATROVERAN COMPOSTO,2028-09-30
ATROVEX,2029-05-31
ATTENZE,2030-11-30
ATTOSY,2028-01-31
AURIS-SEDINA,2029-10-31
AVADEN,2029-01-31
AVAFIL,2025-05-31
AVAL,2025-10-31
AVALOX,2029-11-30
AVAMYS,2028-11-30
AVASTIN,2030-05-31
AVESTRIA,2025-11-30
AVIANT,2026-07-31
AVIANT EFE,2027-01-31
AVICIS,2026-11-30
AVIDE,2025-09-30
AVODART,2029-10-31
AVONEX,2028-01-31
AVSOLA,2030-12-31
AXETIL CEFUROXIMA,2026-06-30
AXIFLENNID,2031-08-31
AXONIUM,2027-05-31
AZANEM,2025-10-31
AZENTEX,2031-05-31
AZI IV,2023-04-30
AZICIN,2026-06-30
AZILECT,2025-06-30
AZINOSTIL,2027-04-30
AZITRIMICINA DI-HIDRATADA,2026-05-31
AZITROLAB,2028-01-31
AZITROMED,2025-06-30
AZITROMICINA MONOIDRATADA,2030-03-31
AZITROMICINA MONOIDRATADA 500MG,2025-04-30
AZITROPHAR,2025-07-31
AZNITE,2027-03-31
AZOPT,2028-06-30
AZORGA,2025-03-31
AZOX,2025-09-30
AZTREONAM,2025-07-31
AZUKON MR,2029-01-31
AZULFIN,2026-08-31
AZULIX,2024-01-31
AZULIX MF,2026-07-31
B-SUPRIN,2026-02-28
B-TABLOCK,2026-08-31
B-VIT,2026-09-30
B.BRAUN SOLUÇÃO DE RINGER Nº3,2029-12-31
BABYMED,2027-08-31
BABYMED TRATAMENTO,2030-05-31
BABYNEO,2028-03-31
BAC-SULFITRIN,2029-07-31
BACFAR,2025-01-31
BACIGEN,2028-06-30
BACINA,2027-10-31
BACINANTRAT,2027-03-31
BACLOFEN,2026-07-31
BACLON,2026-02-28
BACSULFAPRIM,2027-12-31
BACTODERM,2025-09-30
BACTOMAX,2026-10-31
BACTRISAN,2025-02-28
BACTROBAN,2029-10-31
BACTRONEO,2025-04-30
BACTROPIN,2027-07-31
BAHIAFARMA INSULINA HUMANA NPH,2027-07-31
BAHIAFARMA INSULINA HUMANA R,2027-07-31
BALEFIO,2028-07-31
BALSAMO BENGUE,2029-10-31
BALUROL,2030-05-31
BAMBAIR,2023-08-31
BAMIFIX,2025-02-28
BANXA,2030-11-30
BARACLUDE,2025-07-31
BARIOGEL,2029-10-31
BART H,2025-08-31
BASAGLAR,2027-05-31
BAVENCIO,2028-06-30
BAXTER GLICINA,2028-06-30
BAXTER GLICOSE,2027-10-31
BAXTER SOLUÇÃO DE RINGER COM LACTATO,2027-10-31
BAXTER SORBITOL,2028-09-30
BAYCUTEN N,2027-02-28
BEBEX ADE,2027-07-31
BEBEX N,2027-07-31
BECLONATO,2025-05-31
BECLOSOL,2028-06-30
BEDECI,2022-09-30
BEDIMZA,2028-06-30
BEDOZIL,2022-05-31
BEFOLIK,2029-06-30
BELARA,2028-10-31
BELARINA,2026-12-31
BELCOMPLEX,2026-08-31
BELCOMPLEX B,2025-09-30
BELEMINA,2027-05-31
BELEODAQ,2023-05-31
BELFACTRIM,2027-04-30
BELFAREN,2026-03-31
BELFLARZOL,2029-08-31
BELKYRA,2028-03-31
BELLY,2026-06-30
BELMIRAX,2025-05-31
BELPELE,2029-08-31
BELSPAN,2025-08-31
BELTAZIN,2027-07-31
BENATUX,2025-12-31
BENECTRIN,2025-08-31
BENEGRIP,2028-05-31
BENEGRIP MULTI,2029-10-31
BENEGRIP MULTI DIA,2029-03-31
BENEGRIP MULTI NOITE,2029-03-31
BENEROC,2025-11-30
BENERVA,2025-12-31
BENEUM,2029-09-30
BENEVAT,2027-03-31
BENICAR,2028-10-31
BENICAR HCT,2029-10-31
BENICAR TRIPLO,2031-03-31
BENICARANLO,2028-04-30
BENLYSTA,2027-11-30
BENORMAL,2025-03-31
BENUTREX,2022-08-31
BENZAPEN G,2026-12-31
BENZETACIL,2027-03-31
BENZEVIT,2029-08-31
BENZIDROL,2029-02-28
BENZIFLEX LIS,2026-08-31
BENZILPEN,2029-01-31
BENZIN,2026-06-30
BENZOATO DE BENZILA,2027-11-30
BENZODERM,2027-10-31
BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO,2027-12-31
BENZOL,2029-03-31
BENZOTOP,2025-03-31
BEPANTRIZ,2029-04-30
BEPEBEN,2026-05-31
BERBERIS-HOMACCORD,2025-08-31
BERGOX,2026-09-30
BERIATE P,2027-12-31
BERIBUMIN,2028-04-30
BERIPLAST P,2028-05-31
BERIPLEX P/N,2026-07-31
BERITIN   BC,2025-09-30
BERK,2025-08-31
BEROCCAL,2027-03-31
BEROTEC,2029-03-31
BESEROL,2025-03-31
BESFLOX,2028-02-29
BESILAPIN,2026-09-30
BESILATO DE ANLODIPINO+ATENOLOL,2028-09-30
BESIVANCE,2026-01-31
BESOMED,2027-01-31
BESPONSA,2029-01-31
BETA-LONG,2029-11-30
BETACARE,2027-11-30
BETACORTAZOL,2029-06-30
BETACRIS,2027-03-31
BETADINE,2026-12-31
BETADINE XR,2029-11-30
BETAFACT,2026-07-31
BETAFERON,2026-03-31
BETAGAN,2023-07-31
BETAPRO,2028-10-31
BETAPROSPAN,2026-03-31
BETASERC,2029-04-30
BETATRINTA,2029-10-31
BETEGLID,2028-10-31
BETES,2027-05-31
BETNOVATE,2029-07-31
BETNOVATE N,2029-07-31
BETOGENTA,2025-06-30
BETOPTIC,2028-03-31
BETRAT,2026-06-30
BETRICORT,2027-06-30
BETSONA,2025-01-31
BEVESPI AEROSPHERE®,2030-12-31
BEXAI,2029-07-31
BEXETON,2025-02-28
BEXSERO,2026-05-31
BHENA,2030-03-31
BIALERGE,2029-10-31
BIALU,2027-06-30
BIALUDEX,2029-02-28
BIAMOTIL,2025-07-31
BIAMOTIL D,2023-02-28
BIBAG,2026-10-31
BICERTO,2028-08-31
BICERTO IV,2030-07-31
BICONCOR,2025-09-30
BIENN DIRECT,2029-04-30
BIKTARVY,2029-11-30
BILYT,2031-01-31
BIMAGAN,2028-12-31
BIMAPROST,2027-03-31
BIMONY,2029-10-31
BINAV,2028-09-30
BINOSPAN COMPOSTO,2029-12-31
BIO E,2025-05-31
BIO MANGUINHOS INFLIXIMABE,2030-06-30
BIO-C,2026-12-31
BIO-C + ZINCO,2025-04-30
BIO-MANGUINHOS ALFATALIGLICERASE,2029-08-31
BIO-MANGUINHOS BETAINTERFERONA 1A,2026-02-28
BIO-MANGUINHOS ETANERCEPTE,2029-09-30
BIO-MANGUINHOS GOLIMUMABE,2031-01-31
BIO-MANGUINHOS RITUXIMABE,2031-03-31
BIO-MANGUINHOS SOMATROPINA,2031-06-30
BIO-MANGUINHOS TRASTUZUMABE,2030-12-31
BIOARGI-C,2029-10-31
BIOEZULEN,2025-02-28
BIOFENAC,2028-07-31
BIOFLAC,2026-10-31
BIOFLADEX,2026-06-30
BIOFLEX,2025-05-31
BIOFOR C,2028-04-30
BIOFORTÔNICO,2027-12-31
BIOGINKGO BIONATUS,2028-06-30
BIOGLICO,2027-09-30
BIOHEPATON,2030-01-31
BIOMAG,2027-09-30
BIOMATROP,2026-04-30
BIOSENG,2030-03-31
BIOSTATE,2030-04-30
BIOTIFENO,2027-08-31
BIOVICERIN,2030-01-31
BIOVIR,2028-02-29
BIOVITA ZINCO,2028-07-31
BIPHOZYL,2030-06-30
BIPOGINE,2022-05-31
BIPROSLAM,2025-07-31
BIQUIZ,2030-10-31
BISALAX,2029-11-30
BISMU-JET,2025-06-30
BISOLPHAR,2026-02-28
BISOLVON,2025-10-31
BISOPRO-GRAN,2026-07-31
BISSULFATO DE CLOPIDROGEL,2022-03-31
BISURAN,2027-10-31
BIVOLET,2026-07-31
BLAUBIMAX,2030-06-30
BLAUIMUNO,2030-03-31
BLAZTERE,2029-07-31
BLEU PATENTE V,2026-06-30
BLINCYTO,2027-04-30
BLUMEL HEDERA,2027-11-30
BLUPILL,2028-08-31
BOLDINE,2028-11-30
BOLDO BELFAR,2025-11-30
BOLDO KLEIN,2028-07-31
BOLDOVITA,2028-06-30
BOLT CAPS,2027-04-30
BONAGRAN,2027-03-31
BONAR,2030-04-30
BONECAL D,2026-04-30
BONEPREV,2025-01-31
BONVIVA,2026-01-31
BORTYZ,2029-12-31
BOTOX,2027-09-30
BOTULIFT,2030-01-31
BOTULIM,2027-02-28
BOZORED,2027-07-31
BRAMICAR,2027-01-31
BRAMICAR HCT,2028-06-30
BRAMITOB,2029-01-31
BRANTA,2028-10-31
BRASART,2026-12-31
BRASART BCC,2027-01-31
BRAVAN,2027-05-31
BRAVAN DUO,2030-03-31
BRAVAN HCT,2028-04-30
BRAVELLE,2023-06-30
BRAVITAN,2025-08-31
BRECILA,2029-08-31
BREELET,2031-08-31
BRENZYS,2027-12-31
BREVIBLOC,2029-04-30
BREVIBLOC DILUÍDO,2028-07-31
BREXIN,2027-07-31
BRIDION,2029-10-31
BRILINTA,2025-12-31
BRILIV,2029-06-30
BRINEURA,2028-07-31
BRINTELLIX,2025-10-31
BRITENS,2026-08-31
BROMELIN,2028-01-31
BROMETO DE  N-BUTIL ESCOPOLAMINA + DIPIRONA SODICA,2026-03-31
BROMETO DE IPRATRÓPRIO,2029-01-31
BROMETO DE N-BUTILESCOPOLAMINA + DIPIRONA,2028-06-30
BROMETO DE PINAVERIO,2027-07-31
BROMETO DE ROCURONIO,2028-03-31
BROMEXPEC,2026-06-30
BROMIDRATO DE DARIFENACINA,2026-10-31
BROMIFEN,2027-06-30
BROMIGAN,2027-01-31
BROMIL,2025-08-31
BROMOGEX,2027-06-30
BROMOXON,2026-07-31
BROMUC,2029-03-31
BRONCATAR,2028-05-31
BRONCOFLUX,2027-03-31
BRONCOLEX,2025-08-31
BRONCOMUCOL,2026-05-31
BRONDELIX,2029-06-30
BRONDILAT,2025-06-30
BRONFILIL,2028-12-31
BRONQTRAT,2025-11-30
BRONQUITOSS,2028-10-31
BRONQUIVITA,2028-04-30
BRONTEK,2028-02-29
BRONXOL,2025-10-31
BRUKINSA,2024-08-31
BRYOPHYLLUM ARGENTO CULTUM,2029-05-31
BUDESONIDA,2026-11-30
BUENE,2029-01-31
BUKRU KRAEMER,2022-01-31
BULANSI,2027-09-30
BUONA,2029-05-31
BUP,2026-05-31
BUP XL,2031-06-30
BUPIUM,2028-08-31
BUPIUM XL,2027-12-31
BUPROVIL,2036-06-30
BUPSTESIC,2025-12-31
BUPSTESIC COM VASO,2026-02-28
BUSCOPLEX COMPOSTO,2025-06-30
BUSILVEX,2026-05-31
BUSONID,2025-09-30
BUTACID,2027-12-31
BUTALAB,2025-09-30
BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA MONOIDRATADA,2025-07-31
BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SODICA,2021-11-30
BYCAL,2027-10-31
BYDUREON,2022-01-31
BÁLSAMO ALEMÃO DE NOHASCHECK,2025-03-31
BÁLSAMO BRANCO,2029-12-31
BÊVITER,2026-08-31
C- CÁLCIO,2025-06-30
C-PLATIN,2025-05-31
CAAB,2028-01-31
CABAZRED,2027-02-28
CABEREDUX,2029-03-31
CABERTRIX,2028-09-30
CABLIVI,2031-05-31
CABOMETYX,2023-10-31
CADENZA,2025-11-30
CAELYX,2026-07-31
CAFIASPIRINA,2029-08-31
CAFILISADOR,2027-03-31
CALAMYN,2026-07-31
CALCIFIX COMPOSTO B12,2027-05-31
CALCIJEX,2027-10-31
CALCIMEC D3,2026-08-31
CALCIMED,2025-03-31
CALCITRAN B12,2028-05-31
CALCIUM SANDOZ,2027-02-28
CALCIUM SANDOZ + VITAMINA C LARANJA,2027-04-30
CALDROX D,2025-07-31
CALDÊ,2025-02-28
CALMADOR,2029-08-31
CALMALEVHY,2030-10-31
CALMAN,2029-10-31
CALMANTINA,2030-03-31
CALMASYN,2028-03-31
CALMAZIL,2029-01-31
CALMINEX H E CALMINEX ATLETA,2025-09-30
CALMINTHEO,2025-05-31
CALMITANE,2026-11-30
CALMOPLANTAS,2028-09-30
CALMPHAR PI,2029-12-31
CALNATE,2029-01-31
CALQUENCE,2023-12-31
CALT,2028-09-30
CALTRATE 600 + M,2028-04-30
CALTREN,2028-10-31
CAMOMILA COMPOSTA CATARINENSE,2029-10-31
CAMOMILINA C,2026-07-31
CAMPTOSAR,2028-02-29
CAMPTRIX,2029-05-31
CANCIDAS,2026-05-31
CANDECOR,2028-08-31
CANDECOR HCT,2028-12-31
CANDERM,2029-02-28
CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA,2029-10-31
CANDESSA,2028-08-31
CANDESSA HCT,2028-12-31
CANDICORT,2025-01-31
CANDIGRAN,2027-09-30
CANDITRAT,2026-09-30
CANDORAL,2025-08-31
CANESTEN,2025-05-31
CAPECARE,2025-08-31
CAPELIV,2027-08-31
CAPILAREMA,2029-10-31
CAPOTRINEO,2026-03-31
CAPOX,2028-01-31
CAPS-IPEN,2024-12-31
CAPSFEN,2026-11-30
CAPTOCORD,2025-07-31
CAPTOMED,2028-03-31
CAPTOMIDO,2025-09-30
CAPTOSEN,2025-07-31
CAPTOTEC,2029-10-31
CAPY,2029-09-30
CAPYLA-HAIR,2026-09-30
CAPZAT,2030-12-31
CARBAGLU,2029-06-30
CARBIDOL,2027-09-30
CARBIDOPA MONOIDRATADA + LEVODOPA,2027-05-31
CARBITAL,2026-06-30
CARBOCIN,2029-05-31
CARBOLITIUM,2026-08-31
CARBONATO DE CÁLCIO + COLECALCIFEROL (VITAMINA D3),2028-12-31
CARBOPLATINA,2027-11-30
CARBOTRAT,2025-12-31
CARD-IPEN,2023-01-31
CARDCOR,2025-12-31
CARDILOL,2026-04-30
CARDIOXANE,2029-11-30
CARDIZEM,2028-08-31
CARDOMARIN,2029-03-31
CARDURAN,2024-11-30
CARELI,2025-02-28
CARISOPRODOL + DICLOFENACO DE SÓDIO + PARACETAMOL+ CAFEÍNA,2028-03-31
CARLIT,2025-07-31
CARMUSTINA,2031-07-31
CARNABOL,2025-10-31
CARNABOL KIDS,2025-04-30
CARVEDILAT,2026-11-30
CARVEGRAN,2026-12-31
CARVEROL,2029-11-30
CASODEX,2025-12-31
CASPACIL,2028-06-30
CASTANHA DA INDIA GLOBO,2025-02-28
CASTANHA DA INDIA ORIENT,2025-11-30
CASTANHA DA ÍNDIA,2026-01-31
CASTANHA DA ÍNDIA ALTHAIA,2030-10-31
CASTANHA DA ÍNDIA ATALAIA,2025-11-30
CASTANHA DA ÍNDIA COMPOSTA,2027-10-31
CASTANHA DA ÍNDIA EC,2027-06-30
CASTANHA DA ÍNDIA HERBARIUM,2027-09-30
CATAFLAM,2029-05-31
CATAFLAMPRO,2028-05-31
CATAFLEXYM,2025-11-30
CATUAMA,2025-12-31
CAVALINHA ORIENT,2025-09-30
CAZIDERM,2028-08-31
CAZIGERAN,2029-03-31
CBEQUIM,2029-05-31
CEBION,2025-08-31
CEBION CÁLCIO,2025-05-31
CEBION ZINCO,2026-06-30
CEBRALAT,2027-06-30
CECI,2031-04-30
CECLOR,2028-01-31
CECOFLAN,2025-05-31
CEDROXIL,2027-03-31
CEDUR,2027-09-30
CEFABEN,2028-02-29
CEFACIMED,2026-09-30
CEFACLOR MONOIDRATADO,2029-03-31
CEFADRIN,2030-09-30
CEFAGEL,2026-03-31
CEFALIUM,2025-02-28
CEFALIUM ONE,2029-10-31
CEFALIV,2025-02-28
CEFALMED,2025-02-28
CEFALOTIL,2025-11-30
CEFALOTINA SODICA,2026-04-30
CEFANAXIL,2025-02-28
CEFARISTON,2029-03-31
CEFAZIMA,2026-09-30
